id,type,metric,RMSE,MAE,K
56,item,pearson,0.9384130971077932,0.7153575677610772,19
57,item,cosine,0.9371747332775545,0.7183280150830622,20
58,item,msd,0.9242987437561794,0.7097192370768253,20
59,item,pearson,0.935659105799904,0.7134598758588852,20
60,item,cosine,0.9363562548839349,0.7177086081701576,21
61,item,msd,0.9235004621245565,0.7081799595789521,21
62,item,pearson,0.9351828947364378,0.71333769401482,21
63,item,cosine,0.9342572315544283,0.7168766329052929,22
64,item,msd,0.9211500694279481,0.7064922434980356,22
65,item,pearson,0.9352457439501961,0.7125980668401374,22
66,item,cosine,0.9349548493471701,0.7168162171577664,23
67,item,msd,0.9231239049529624,0.7071544293705857,23
68,item,pearson,0.9345502958502202,0.7131369782204366,23
69,item,cosine,0.9339871925213614,0.7154002689258852,24
70,item,msd,0.9188900133627727,0.7051496902916041,24
71,item,pearson,0.9338430702645754,0.7121855291776285,24
72,item,cosine,0.9329490242978009,0.7148625176618919,25
73,item,msd,0.9200288865442847,0.7052148066647326,25
74,item,pearson,0.9342941337966815,0.71260014859742,25
75,item,cosine,0.9310334185821907,0.7142685385543527,26
76,item,msd,0.9188699506749,0.7036818385438101,26
77,item,pearson,0.9326564942376816,0.7106692462137618,26
78,item,cosine,0.9314027324758287,0.7140029628363347,27
79,item,msd,0.918611683017609,0.7039559541921175,27
80,item,pearson,0.9316448504694609,0.7107854005553692,27
81,item,cosine,0.9320911472968231,0.7145212697355662,28
82,item,msd,0.9181062528010123,0.7032287475891355,28
83,item,pearson,0.9307314287426698,0.7095642357021228,28
84,item,cosine,0.9306761148774167,0.7129691518500014,29
85,item,msd,0.9190136916804745,0.7042818416225767,29
86,item,pearson,0.9318610865513236,0.710181412351527,29
87,item,cosine,0.9303417567434835,0.7139301880287594,30
88,item,msd,0.9177438457761424,0.7027601712385263,30
89,item,pearson,0.9307907923550127,0.7095754932689249,30
90,item,cosine,0.9303392239566545,0.712553486445539,31
91,item,msd,0.9167010146327295,0.7026684131882387,31
92,item,pearson,0.9321371902780233,0.7105188556270166,31
93,item,cosine,0.9298320206673536,0.7128676701346595,32
94,item,msd,0.917672949321594,0.7034500813569566,32
95,item,pearson,0.9294202896474679,0.7085931270526652,32
96,item,cosine,0.9274869975070098,0.711684238024149,33
97,item,msd,0.9164863154104654,0.7020283896131193,33
98,item,pearson,0.9295277464725651,0.7086702010551906,33
