id,type,metric,RMSE,MAE,K
119,user,pearson,0.9249621356112913,0.7052353985660258,40
120,user,cosine,0.9209467392127504,0.705913923976545,41
121,user,msd,0.9186597508652437,0.7029669565942848,41
122,user,pearson,0.9232862919788529,0.7044619451130709,41
123,user,cosine,0.921911954430423,0.7064816442549778,42
124,user,msd,0.9185932983644017,0.7031141047495979,42
125,user,pearson,0.9224244981478986,0.7034550028842406,42
126,user,cosine,0.9211754161112122,0.7059832249034956,43
127,user,msd,0.9189071393507439,0.7030173819431346,43
128,user,pearson,0.9231081008425936,0.7040193473584789,43
129,user,cosine,0.920907086112671,0.7060598261135173,44
130,user,msd,0.9192079268744715,0.703926365551644,44
131,user,pearson,0.9249334346246882,0.7055385130533841,44
132,user,cosine,0.9233819810368293,0.70776238413259,45
133,user,msd,0.9199176679658378,0.7039520281605619,45
134,user,pearson,0.9230833142154486,0.7044593390486529,45
135,user,cosine,0.9221583922751233,0.7061025567288347,46
136,user,msd,0.9189171018892945,0.7033550366367765,46
137,user,pearson,0.923837936677972,0.7040799868277515,46
138,user,cosine,0.921414439321436,0.7062409874508695,47
139,user,msd,0.9191775487645387,0.7035170916549647,47
140,user,pearson,0.9225247332343669,0.7040835996151193,47
141,user,cosine,0.9222631782980066,0.7065381559717773,48
142,user,msd,0.9195849861544388,0.7039997741005284,48
143,user,pearson,0.9240115743139559,0.704509708920305,48
144,user,cosine,0.9218636275524762,0.7063118080050275,49
145,user,msd,0.918692333706723,0.7027586906461943,49
146,user,pearson,0.9226441380437402,0.7041626599406777,49
147,user,cosine,0.9223701782785859,0.7067980615215561,50
148,user,msd,0.9193920242806837,0.7031865896725937,50
149,user,pearson,0.924994764557626,0.7054081114141952,50
150,user,cosine,0.9229182613721589,0.7067649865310183,51
151,user,msd,0.9183253789793101,0.7024492471887407,51
152,user,pearson,0.9238580554561899,0.7048000576314999,51
153,user,cosine,0.9228360037955582,0.7071804353417273,52
154,user,msd,0.9195078171882551,0.7035392301487842,52
155,user,pearson,0.9246102641453803,0.7047465699665733,52
156,user,cosine,0.9223413624712368,0.7065919547235975,53
157,user,msd,0.9193109418285432,0.7034355258109241,53
158,user,pearson,0.9234540837981802,0.7037656073224372,53
159,user,cosine,0.9233293115866053,0.7066768459642405,54
160,user,msd,0.9191837601726076,0.7032264451241135,54
161,user,pearson,0.9249684956366766,0.7053424648488211,54
162,user,cosine,0.921773385187936,0.70573557482423,55
163,user,msd,0.9187557796971708,0.703062547706577,55
164,user,pearson,0.9233368050625085,0.7041686001371952,55
165,user,cosine,0.9222335831666658,0.706124887021608,56
166,user,msd,0.919489592939386,0.7037024763240904,56
167,user,pearson,0.9242696904482488,0.7046076646184469,56
168,user,cosine,0.92314093684694,0.7069712757338887,57
169,user,msd,0.9191504964968488,0.7032339883952827,57
170,user,pearson,0.9234657106618591,0.7040290804634786,57
171,user,cosine,0.9228090636191325,0.706946642286083,58
172,user,msd,0.9177351555540879,0.7025871626090172,58
173,user,pearson,0.9242761075179124,0.7040465536790428,58
174,user,cosine,0.9232549308836981,0.7074026895708518,59
175,user,msd,0.9191040674899791,0.7034123336253895,59
176,user,pearson,0.9242628711936444,0.705607646424027,59
177,user,cosine,0.9216095604420957,0.706231966251875,60
178,user,msd,0.9204286145914008,0.7041794641642182,60
179,user,pearson,0.9233245066184859,0.7038649043908107,60
180,user,cosine,0.920621848390841,0.7053204679665664,61
181,user,msd,0.9190316660415938,0.7027764820766658,61
182,user,pearson,0.9235721855990702,0.7047894178265384,61
183,user,cosine,0.922006661817725,0.7065417103104781,62
184,user,msd,0.9196465451172262,0.7041246230573517,62
185,user,pearson,0.9240948778697653,0.7051124039725202,62
186,user,cosine,0.9226439972766869,0.706643704664461,63
187,user,msd,0.9188971056543125,0.7029238353435321,63
188,user,pearson,0.924094072292242,0.704507531749859,63
189,user,cosine,0.9227196845035838,0.706657983984643,64
190,user,msd,0.9193072303359451,0.7035030199613541,64
191,user,pearson,0.9217753869675152,0.7030446110012674,64
192,user,cosine,0.9224305597143019,0.7067989001706263,65
193,user,msd,0.918724714981697,0.7024905391342763,65
194,user,pearson,0.9224183328291649,0.7040454480948324,65
195,user,cosine,0.923828724185791,0.7075868182651462,66
196,user,msd,0.9193590120548567,0.7035078123975007,66
197,user,pearson,0.9228244693584529,0.7042311870280206,66
198,user,cosine,0.9201875619145443,0.7048380097548376,67
199,user,msd,0.919372775128853,0.7035709867369451,67
200,user,pearson,0.9239491996419613,0.7049100897598534,67
201,user,cosine,0.9224781887165128,0.7063256767977132,68
202,user,msd,0.9187415318686256,0.7032508868470624,68
203,user,pearson,0.9251238465134695,0.7054141413678077,68
204,user,cosine,0.9211340016763593,0.7052928951533579,69
205,user,msd,0.9187988571941463,0.702831512747496,69
206,user,pearson,0.9239460798373068,0.7042775582281637,69
207,user,cosine,0.9222798470371607,0.7064046088235065,70
208,user,msd,0.9191634288426,0.7029332977445407,70
209,user,pearson,0.9236381487321484,0.7042741193722625,70
210,user,cosine,0.9228944386542366,0.7062032146839556,71
211,user,msd,0.9180768873503993,0.7027914150063548,71
212,user,pearson,0.922401356582732,0.7038455459818612,71
213,user,cosine,0.9210113225990169,0.7054448817251251,72
214,user,msd,0.9184184995707806,0.7026009426230369,72
215,user,pearson,0.9261032658789295,0.7056849509594862,72
216,user,cosine,0.9227973861132035,0.7068134685715715,73
217,user,msd,0.9201905806046519,0.7039406479694988,73
218,user,pearson,0.9224277059569692,0.7033619610088435,73
219,user,cosine,0.9231157510537041,0.7069446248433838,74
220,user,msd,0.9193146317168261,0.7034122123793413,74
221,user,pearson,0.9236168283025179,0.7039494485498553,74
222,user,cosine,0.9227404406793676,0.7066167672982904,75
223,user,msd,0.9198949872553882,0.7036623043406282,75
224,user,pearson,0.9260177112345376,0.7057800938741382,75
225,user,cosine,0.9232553615572823,0.7071022491009105,76
226,user,msd,0.9183263342043094,0.7026055307404373,76
227,user,pearson,0.9223018620479285,0.7033154712842757,76
228,user,cosine,0.9218225258707591,0.7061185698565671,77
229,user,msd,0.9181519270224019,0.7026406646261042,77
230,user,pearson,0.923723230747734,0.7041977429164528,77
231,user,cosine,0.9217732338295097,0.7059272460624516,78
232,user,msd,0.9202043657144623,0.7038979959413327,78
233,user,pearson,0.9238949467229368,0.7052055173622301,78
234,user,cosine,0.9222553586264215,0.7062464387051594,79
235,user,msd,0.9197891982496756,0.70375816650052,79
236,user,pearson,0.9234782666298619,0.7045674426481768,79
237,user,cosine,0.9231763678292421,0.7071287295060159,80
238,user,msd,0.9201697324404498,0.7041075541426796,80
239,user,pearson,0.9226488676352383,0.7035338276360665,80
240,user,cosine,0.9231942251133258,0.7071139469668102,81
241,user,msd,0.9216699753366349,0.7048312926839408,81
242,user,pearson,0.9239981526839088,0.7049322223307426,81
243,user,cosine,0.9239027455720183,0.707322594866427,82
244,user,msd,0.9210070119337035,0.7038818631090393,82
245,user,pearson,0.9244807425707858,0.7046305468363361,82
246,user,cosine,0.9235785704826018,0.7069219167143039,83
247,user,msd,0.9193219932099226,0.7030159346063826,83
248,user,pearson,0.9239554174899315,0.7043126610144084,83
249,user,cosine,0.9225032053250983,0.7064666942175245,84
250,user,msd,0.9193235282449553,0.7040470863069129,84
251,user,pearson,0.9235071486448877,0.7044988242567565,84
252,user,cosine,0.924103410938659,0.7074437740425316,85
253,user,msd,0.9201749329973937,0.7041017983674621,85
254,user,pearson,0.9246259030336297,0.7055804090676385,85
255,user,cosine,0.9235693741697497,0.7074730811876434,86
256,user,msd,0.919144588146389,0.7031701906120709,86
257,user,pearson,0.9233316694992464,0.7038702816519318,86
258,user,cosine,0.9231606916448021,0.7072309191912816,87
259,user,msd,0.9198403568080501,0.7040423824822742,87
260,user,pearson,0.9242373324183133,0.7048965385309909,87
261,user,cosine,0.9230132041475743,0.7067293342999426,88
262,user,msd,0.91967877649949,0.7034318061303231,88
263,user,pearson,0.9246959640723377,0.7051755953707564,88
264,user,cosine,0.922872972272847,0.706298239795102,89
265,user,msd,0.9203542745136705,0.7040756897812391,89
266,user,pearson,0.9212879354953083,0.7029797519204319,89
267,user,cosine,0.922858627806359,0.7068296437130418,90
268,user,msd,0.9191175157143185,0.7033703337983985,90
269,user,pearson,0.926097544731616,0.7061259309780975,90
270,user,cosine,0.9230835307769738,0.7067140279011621,91
271,user,msd,0.9209694605109157,0.7043472213183438,91
272,user,pearson,0.9244938902756381,0.7052675074567649,91
273,user,cosine,0.9236231318590452,0.7070664649676999,92
274,user,msd,0.9194665079505724,0.7033423382079073,92
275,user,pearson,0.9233566302041355,0.7040817184984137,92
276,user,cosine,0.9226714675654664,0.7059311983899244,93
277,user,msd,0.9200143154622052,0.7040187704832972,93
278,user,pearson,0.9254263116015548,0.7059093788472687,93
279,user,cosine,0.9224828863671142,0.7059653935539335,94
280,user,msd,0.9195339408109268,0.70358656534359,94
281,user,pearson,0.9246550153694241,0.7045013079434426,94
282,user,cosine,0.9228582823436277,0.7064057293130237,95
283,user,msd,0.9201084527981459,0.7032370761827588,95
284,user,pearson,0.9234946921678236,0.7043457156953246,95
285,user,cosine,0.9234320902074609,0.7070661216150904,96
286,user,msd,0.9199210318168272,0.703989665050562,96
287,user,pearson,0.9240929482489919,0.7045784501371247,96
288,user,cosine,0.9239223177474004,0.707078166769909,97
289,user,msd,0.9193371277045792,0.7034215349608415,97
290,user,pearson,0.9254127190562457,0.7062332908598151,97
291,user,cosine,0.9230882128140661,0.707161046047674,98
292,user,msd,0.9202465402011285,0.7040800823667637,98
293,user,pearson,0.9229023068550891,0.7037589818256968,98
294,user,cosine,0.922821095099342,0.7063485140862886,99
295,user,msd,0.919733602980872,0.7040672626419148,99
296,user,pearson,0.9243798441016089,0.7048078015414974,99
