type,metric,RMSE,MAE
user,cosine,0.9222083649722576,0.7067243175587339
user,msd,0.9185946490741366,0.7031203244128402
user,pearson,0.923072067212553,0.7035413507359526
item,cosine,0.9240342604426806,0.707806121639783
item,msd,0.9124209367392352,0.6989172912705464
item,pearson,0.927667984552689,0.7067563798681524
